norm.name	RBN011364-002.horizon.GI50_nm	RBN011595-001.horizon.GI50_nm	RBN011628-001.horizon.GI50_nm	RBN011364-002.horizon.IC50_nm	RBN011595-001.horizon.IC50_nm	RBN011628-001.horizon.IC50_nm	RBN011364-002.horizon.Delta.1um	RBN011595-001.horizon.Delta.1um	RBN011628-001.horizon.Delta.1um	RBN011364-002.horizon.EMax.1um.fixed	RBN011595-001.horizon.EMax.1um.fixed	RBN011628-001.horizon.EMax.1um.fixed	Response.group
LCLC103H	10000	10000	687.567753026379	120.739225245689	217.595085387748	250.600906651942	30.1851865125741	23.7104093355091	49.3064360057434	70.3268552910078	74.165517077503	46.432024359266	Responder
LCLC97TM1	10000	3916.01656449566	1055.40882800406	102.17429915572	10000	1601.38191118062	20.7354178839115	15.1163723834331	34.8709986454348	72.3195642258404	76.4087668288578	51.503560959113	Nonresponder
LK2	10000	10000	10000	17.7398521853907	27.442662492924	9.25720088427244	33.5761972154219	25.0508750546983	33.3172485246586	65.1879354919533	69.5582374679111	63.689042940279	Responder
LOUNH91	10000	5989.81975400233	2269.67947507776	1227.0363112365	10000	10000	18.6447313107487	11.5413087246456	25.9989344290092	68.7447183548928	77.1498124628814	61.9160376457104	Nonresponder
LOVO	10000	10000	3571.09572002009	4144.52478971155	9772.01587588223	3507.07934542693	0.00924824594173401	2.16158274213285e-06	0.000375810617711636	106.428415389244	105.900070022414	111.375548376837	Nonresponder
LS123	10000	10000	10000	1.26472995011779	57.9826109589761	1.52452743716269	33.6089167277505	39.3540427478631	38.1517628908985	66.5751702054653	54.5897526219567	57.6863349278515	Responder
LUDLU1	595.180354233189	2695.68167520998	567.116166345184	1055.8369279053	3109.12588403288	2302.85217445967	50.2898147204947	0.0160856174649382	41.022624732933	23.8842121043771	76.9724362831913	35.5325003749926	Nonresponder
LXF289	175.094898313542	10000	35.7898210024351	155.939993926131	10000	22.0467900645267	79.065886029282	0	69.4814112385682	16.0927279900066	100	25.3455935669653	Nonresponder
MDAMB175VII	10000	10000	690.598264479997	4524.04983385985	10000	1152.19456996909	1.24192273136434	4.26939147375643	66.2134773413804	97.8722791432349	94.3200956165495	36.3806590966991	Nonresponder
MDAMB231	10000	10000	10000	22.3388744671074	25.5837843460233	0.893245178031593	39.4403352522879	32.0681685989644	41.5755378339817	52.8529482226081	60.7318625336394	55.3149907356612	Responder
MDAMB436	3701.43378090211	5932.69664766361	280.682967245264	3491.83835150904	4315.56375650799	463.7174645948	2.64930223817241	1.8171486553324	71.0149954325346	87.5112554053985	86.0758364164546	22.4973207283308	Nonresponder
MDAMB468	87.5761471882078	237.426580259839	463.07420885336	10000	10000	2519.29173116586	35.9385227962905	27.8741182533111	29.7594590143908	31.7113418460567	46.271393208439	35.9493466842155	Nonresponder
NCIH1373	10000	686.015553569864	9.5346070759628	8.05527660519472	920.027165556591	3.70520798484463	39.557292881008	44.6887003841594	47.2415611838887	54.5497280754297	45.7243426398918	41.2926824583234	Responder
NCIH1437	21.3997122488836	99.4464491896283	1.61565935928548	52.0787487420725	94.3359800055177	1.22282558298996	88.4053411014426	69.3341658320736	73.0764899573115	3.92725604504643	17.9746045964262	19.1808723577009	Responder
NCIH1703	1092.89716055718	4990.13359208122	271.308353995783	1866.79752894466	1805.64220452048	534.914741776574	21.9207162863078	7.31487596423599	63.9294140185626	52.3742479388343	67.2866464829017	12.9420829021244	Nonresponder
NCIH1838	4259.07472935163	10000	1512.61875512804	3888.23088931824	9250.51384094227	1203.54504023504	0.000361527283359919	3.28227577372567	33.8955624246336	93.774493407236	93.3987015013945	60.7664661683322	Nonresponder
NCIH1869	10000	1070.31984716513	117.851080990752	9.13348659999006	59.8128448488819	24.5632119119454	52.1491038364992	51.6047845272633	51.251511099914	52.2431383142615	50.179800532929	42.4831320123922	Responder
NCIH1975	407.084948622174	10000	10000	177.89780869601	161.338020305257	4.89803015641912	57.408044834545	40.3673665067011	24.5243476684263	40.1018437958167	55.3392189269064	69.0280270561818	Responder
NCIH2023	10000	4506.4854776112	1363.37012225429	1069.6627113729	10000	1663.2799334001	20.473267322252	13.2609890659552	25.8898780321684	74.8378047497749	79.5326404095919	61.9204676601292	Nonresponder
NCIH2170	6431.44839002587	10000	2622.41540261437	10000	111.471461359958	3387.89822098742	11.640001929123	17.5216217243502	25.742325366174	96.6412275759967	94.2230944190727	80.2469152093106	Nonresponder
NCIH358	10000	10000	1211.89337558305	28.7188446283776	10000	10000	23.7491698136626	12.3371056995529	43.1637449299175	74.9723815930285	81.2659003196472	53.0879128133849	Nonresponder
NCIH520	10000	10000	10000	10000	44.9981463735212	0.637734110314311	0	21.775320448125	24.2210609461693	100	78.4485204972803	70.020054215816	Responder
NCIH522	3486.42546217573	1139.0915392192	1121.61926232734	4964.41565110403	1485.21138854031	1561.6195929013	1.34915875160755	33.6746065675113	28.9554661755691	74.2946039157538	52.4198707049857	53.2024617796891	Nonresponder
NCIH596	8025.80531051841	2254.06271617327	10000	20.6445473110967	5430.041827996	2.37755078272523	29.6945596102356	19.8374839325635	27.8053560482966	53.1858119901974	57.4779109265845	56.7628288180355	Responder
NCIH647	196.464798243147	250.494078160191	10.8037382746856	422.668199140594	216.680501897097	2.46046719738364	73.036312357381	69.5267273346027	62.7494366457229	17.5826086272414	23.4171750331079	32.9944970903065	Responder
NCIH810	3331.56761510737	10000	989.960267036803	5732.65994939442	3259.04222533719	1127.76534222134	19.3505157630387	0.000130243244726103	64.9789905813405	89.5785241186966	100.784904986677	49.5614666239635	Nonresponder
NUGC4	4712.12378278579	10000	1221.33067947983	4124.87621100231	10000	1421.33636396562	0.000293871207361462	0.144194424769751	39.6254069513124	100.47234342991	102.961903995035	59.0859337056376	Nonresponder
OV56	10000	10000	931.03534434511	4130.54747971059	3459.74147898527	351.190432530729	0.155989898452447	3.79512361499862	62.7199119391258	109.989439009657	114.623247046814	48.7777155018891	Nonresponder
OV7	5079.84810547287	6742.67119367157	1278.43998981359	10000	10000	1435.91533116005	6.25282359481875	7.17680890815699	28.2526309615756	88.0318406156065	89.0022875720842	63.4936029726822	Nonresponder
OVCAR8	4848.21848608362	8404.2117683571	1027.24024021706	8720.63488885661	6748.77449177656	1442.98018283168	5.123313543723	2.92137418677407	45.7795815867856	93.4251789278188	91.8604001016727	51.0739127110597	Nonresponder
OVISE	176.082585880454	340.119748119479	10000	23.6885701458145	29.3330202190554	0.332720588064395	55.0060550633733	48.0109293714288	39.6108519644636	41.4998100493923	47.6022674186038	55.3840878434482	Responder
PECAPJ15	10000	3032.92341105796	10000	24.8400102530686	10000	27.2205728975441	31.2407250608399	22.1417287612959	25.8467699046242	70.8326424462563	71.6971875072828	74.2837710443796	Responder
RCM1	10000	738.825131760016	10000	5.30549868721434	138.337820708106	0.215607159206467	31.6535688266878	48.452291348279	32.6481281225069	65.0548877015499	47.8524043415826	66.013514786915	Responder
RERFLCAI	1036.69342339847	1639.23376437456	250.837252894774	1598.37029098646	2263.24476689534	10000	25.0215036264355	7.60094165216061	48.1096085441839	51.3716935752099	67.1986012673974	34.1113342196789	Nonresponder
RKN	10000	10000	830.527296087046	10000	1471.00406029696	1106.04282727145	14.3992662791656	11.5033272179682	48.484796545508	76.5024256221636	81.8877756392012	42.9731066388277	Nonresponder
SCC25	5.43426761573336	19.2309108500099	1.70788294359967	3.13036173140148	15.106366960722	0.438354117064971	71.2481055919813	80.6861958043371	57.9567983223049	25.5999991229024	15.1017651404681	42.0210367600673	Responder
SH10TC	10000	10000	816.749497733023	3058.02114357526	10000	663.022535928086	0.000424793179277572	1.3392408021673e-05	54.7353173436837	101.364099580652	99.3967304352317	44.9454423638418	Nonresponder
SKBR3	318.80855913059	61.6654434167529	728.065241993114	478.351129717281	204.304318975858	4378.14085595392	90.0330190866235	40.8304799959306	31.5338911201729	5.84692450492916	21.2177042672449	42.3772913961488	Responder
