cell.line	compound	variable	value
Calu-1	RBN011364-002	EMax	63.9090521784169
PE-CA-PJ15	RBN010061-002	EMax	53.391916775847
PE-CA-PJ15	RBN011364-002	EMax	73.6562127468042
BHY	RBN010061-002	EMax	47.409647078318
BHY	RBN011364-002	EMax	64.4883319258699
MDA-MB-468	RBN010061-002	EMax	-9.34730600139184
MDA-MB-468	RBN011364-002	EMax	-0.0521233601257336
CCK-81	RBN010061-002	EMax	47.0833794795844
CCK-81	RBN011364-002	EMax	3.23751449798877
HCC2279	RBN010061-002	EMax	10.3310512545042
HCC2279	RBN011364-002	EMax	14.6606106486597
HCC1599	RBN010061-002	EMax	-21.4195611049609
HCC1599	RBN011364-002	EMax	-3.57226534415193
COLO-680N	RBN010061-002	EMax	63.7043175060253
COLO-680N	RBN011364-002	EMax	17.3402664367417
SK-BR-3	RBN010061-002	EMax	-35.3806794741251
SK-BR-3	RBN011364-002	EMax	-26.0332321173746
NCI-H810	RBN010061-002	EMax	3.69468151986288
NCI-H810	RBN011364-002	EMax	-3.34322324194735
Hs-578-T	RBN010061-002	EMax	27.247353683081
Hs-578-T	RBN011364-002	EMax	45.2529643366033
KURAMOCHI	RBN010061-002	EMax	42.169935999464
KURAMOCHI	RBN011364-002	EMax	-7.98089547080382
SNU-81	RBN010061-002	EMax	32.2554341643697
SNU-81	RBN011364-002	EMax	5.42343485923629
SNU-C4	RBN010061-002	EMax	29.053933003529
SNU-C4	RBN011364-002	EMax	39.3580987905644
Detroit562	RBN010061-002	EMax	26.7474365026212
Detroit562	RBN011364-002	EMax	-11.5905577909386
NUGC-4	RBN010061-002	EMax	69.7229765021415
NUGC-4	RBN011364-002	EMax	34.173837740656
KYSE-30	RBN010061-002	EMax	19.9699281497048
KYSE-30	RBN011364-002	EMax	62.9626617266483
OV7	RBN010061-002	EMax	15.8040178729635
OV7	RBN011364-002	EMax	0.254987307584798
RCM-1	RBN010061-002	EMax	69.1485299983925
RCM-1	RBN011364-002	EMax	66.1224734357146
HT-29	RBN010061-002	EMax	41.6820043459652
HT-29	RBN011364-002	EMax	80.1522964931601
SW48	RBN010061-002	EMax	3.88691676934906
SW48	RBN011364-002	EMax	20.3244360608013
JHOS-2	RBN010061-002	EMax	36.3848515549981
JHOS-2	RBN011364-002	EMax	8.19383883799991
OVCAR-8	RBN010061-002	EMax	-1.64855138882973
OVCAR-8	RBN011364-002	EMax	2.13986860802702
OVISE	RBN010061-002	EMax	30.7502759813178
OVISE	RBN011364-002	EMax	46.545577236292
JHOS-4	RBN010061-002	EMax	1.66502756088401
JHOS-4	RBN011364-002	EMax	42.3264877978101
HARA	RBN010061-002	EMax	8.82449754283773
HARA	RBN011364-002	EMax	43.0596308422527
SW620	RBN010061-002	EMax	2.5708489828402
SW620	RBN011364-002	EMax	36.7146148557638
RKN	RBN010061-002	EMax	82.7256961028377
RKN	RBN011364-002	EMax	70.4286803534333
SH-10-TC	RBN010061-002	EMax	72.5740691906671
SH-10-TC	RBN011364-002	EMax	86.6325106099908
TOV-21G	RBN010061-002	EMax	39.2906974518609
TOV-21G	RBN011364-002	EMax	66.9677137757043
YD-10B	RBN010061-002	EMax	-2.49792040749415
YD-10B	RBN011364-002	EMax	50.8486611163023
LUDLU-1	RBN010061-002	EMax	36.4104709193819
LUDLU-1	RBN011364-002	EMax	-31.7641193756441
NCI-H2023	RBN010061-002	EMax	9.67904810271096
NCI-H2023	RBN011364-002	EMax	67.8643372765247
HCC70	RBN010061-002	EMax	-5.11932224976071
HCC70	RBN011364-002	EMax	67.5034175661059
SW900	RBN010061-002	EMax	68.3103680060223
SW900	RBN011364-002	EMax	-0.437124866823638
RERF-LC-AI	RBN010061-002	EMax	10.4157454351132
RERF-LC-AI	RBN011364-002	EMax	-12.5074781157221
HCC1143	RBN010061-002	EMax	14.1414658790723
HCC1143	RBN011364-002	EMax	45.8609119142673
NCI-H520	RBN010061-002	EMax	18.3210514176759
NCI-H520	RBN011364-002	EMax	100
YD-38	RBN010061-002	EMax	66.1103908791657
YD-38	RBN011364-002	EMax	63.6625087073641
SK-OV-3	RBN010061-002	EMax	15.1208007509218
SK-OV-3	RBN011364-002	EMax	44.6594779990074
SNU-620	RBN010061-002	EMax	6.08744718640958
SNU-620	RBN011364-002	EMax	7.73215454952652
EFE-184	RBN010061-002	EMax	42.0693050937413
EFE-184	RBN011364-002	EMax	-13.8185034749705
EFO-27	RBN010061-002	EMax	100
EFO-27	RBN011364-002	EMax	64.9518743461529
EVSA-T	RBN010061-002	EMax	84.2419762330363
EVSA-T	RBN011364-002	EMax	78.1480260711207
HCT-116	RBN010061-002	EMax	15.1523818255063
HCT-116	RBN011364-002	EMax	33.6261742434105
HEC-1-B	RBN010061-002	EMax	38.2645795897486
HEC-1-B	RBN011364-002	EMax	40.263505923085
LXF-289	RBN010061-002	EMax	100
LXF-289	RBN011364-002	EMax	14.2985150198267
HDQ-P1	RBN010061-002	EMax	50.5429304360186
HDQ-P1	RBN011364-002	EMax	49.4338696948225
U-87 MG	RBN010061-002	EMax	46.848740818624
U-87 MG	RBN011364-002	EMax	52.6677089132322
DBTRG-05MG	RBN010061-002	EMax	88.433681236615
DBTRG-05MG	RBN011364-002	EMax	78.5568443153549
HCC-15	RBN010061-002	EMax	53.1233447733219
HCC-15	RBN011364-002	EMax	13.8312325182227
NCI-H1437	RBN010061-002	EMax	41.3559833628598
NCI-H1437	RBN011364-002	EMax	-9.08770262373802
NCI-H647	RBN010061-002	EMax	27.99192202648
NCI-H647	RBN011364-002	EMax	-11.2500660065914
LOU-NH91	RBN010061-002	EMax	100
LOU-NH91	RBN011364-002	EMax	62.9840815774823
CAL-27	RBN010061-002	EMax	-6.33364203296189
CAL-27	RBN011364-002	EMax	11.6306820539264
LCLC-97TM1	RBN010061-002	EMax	68.4793049960677
LCLC-97TM1	RBN011364-002	EMax	72.316289862873
GSS	RBN010061-002	EMax	75.2362516203422
GSS	RBN011364-002	EMax	33.5075046752566
HCC1937	RBN010061-002	EMax	78.9964224129454
HCC1937	RBN011364-002	EMax	37.3768950954886
OV56	RBN010061-002	EMax	100
OV56	RBN011364-002	EMax	75.9306988650355
HSC-4	RBN010061-002	EMax	75.1672208439424
HSC-4	RBN011364-002	EMax	63.4769749330367
CL-11	RBN010061-002	EMax	-0.274327622357404
CL-11	RBN011364-002	EMax	54.2668339017689
SW480	RBN010061-002	EMax	87.550664924564
SW480	RBN011364-002	EMax	21.5324259597184
NCI-H2170	RBN010061-002	EMax	-6.42793099179535
NCI-H2170	RBN011364-002	EMax	25.7097238578103
TE-6	RBN010061-002	EMax	41.0521890644547
TE-6	RBN011364-002	EMax	17.8061215095887
HCC95	RBN010061-002	EMax	61.3631671446937
HCC95	RBN011364-002	EMax	43.2541944005582
MDA-MB-175-VII	RBN010061-002	EMax	53.1023855182063
MDA-MB-175-VII	RBN011364-002	EMax	52.5831482226032
NCI-H522	RBN010061-002	EMax	9.80740110347726
NCI-H522	RBN011364-002	EMax	-2.11666577149818
HCC2108	RBN010061-002	EMax	-5.37542269685131
HCC2108	RBN011364-002	EMax	82.6965553232043
TE-10	RBN010061-002	EMax	78.3058223219132
TE-10	RBN011364-002	EMax	86.1433946880556
ZR-75-30	RBN010061-002	EMax	100
ZR-75-30	RBN011364-002	EMax	87.2427987671423
GSU	RBN010061-002	EMax	12.6311206386574
GSU	RBN011364-002	EMax	1.89957478473912
KYSE-410	RBN010061-002	EMax	68.4576384467485
KYSE-410	RBN011364-002	EMax	34.3769166845193
KE-39	RBN010061-002	EMax	70.4019360434176
KE-39	RBN011364-002	EMax	51.6383705207941
KNS-62	RBN010061-002	EMax	70.7821824632059
KNS-62	RBN011364-002	EMax	71.8490386838111
KPL-1	RBN010061-002	EMax	14.3211159093737
KPL-1	RBN011364-002	EMax	45.1043606091476
SCC-25	RBN010061-002	EMax	12.1642773598022
SCC-25	RBN011364-002	EMax	25.8295378497757
NCI-H1869	RBN010061-002	EMax	34.7686624432279
NCI-H1869	RBN011364-002	EMax	52.6890476751038
TE-5	RBN010061-002	EMax	19.7274220029745
TE-5	RBN011364-002	EMax	34.4761559458551
SNU-719	RBN010061-002	EMax	6.42254628296794
SNU-719	RBN011364-002	EMax	-6.58602110808619
NCI-H358	RBN010061-002	EMax	27.7187881403862
NCI-H358	RBN011364-002	EMax	74.9714126516767
TYK-nu	RBN010061-002	EMax	-2.23027015378889
TYK-nu	RBN011364-002	EMax	22.4921134743727
NCI-H1703	RBN010061-002	EMax	50.6582361946317
NCI-H1703	RBN011364-002	EMax	-2.47206631314482
CAL-33	RBN010061-002	EMax	105.855347074786
CAL-33	RBN011364-002	EMax	92.0424935850126
NCI-H1373	RBN010061-002	EMax	39.6943407948406
NCI-H1373	RBN011364-002	EMax	54.753903101723
TGBC11TKB	RBN010061-002	EMax	-4.15430598106356
TGBC11TKB	RBN011364-002	EMax	19.3059161222438
JIMT-1	RBN010061-002	EMax	40.32391269717
JIMT-1	RBN011364-002	EMax	65.855734636171
YMB-1	RBN010061-002	EMax	21.7835681458647
YMB-1	RBN011364-002	EMax	38.8997195076188
KYSE-520	RBN010061-002	EMax	56.5951715367932
KYSE-520	RBN011364-002	EMax	56.512604346817
KYSE-70	RBN010061-002	EMax	22.708264008703
KYSE-70	RBN011364-002	EMax	75.9308007021586
LS-123	RBN010061-002	IC50_nm	1700.24083803847
LS-123	RBN011364-002	IC50_nm	1.26472995011779
EBC-1	RBN010061-002	IC50_nm	10000
EBC-1	RBN011364-002	IC50_nm	25.2053002471012
T3M-10	RBN010061-002	IC50_nm	10000
T3M-10	RBN011364-002	IC50_nm	34.5601047240492
SNU-175	RBN010061-002	IC50_nm	6030.89917817469
SNU-175	RBN011364-002	IC50_nm	14.1707054528149
A253	RBN010061-002	IC50_nm	3664.68536851169
A253	RBN011364-002	IC50_nm	5.90049269644134
A549	RBN010061-002	IC50_nm	7999.93328818379
A549	RBN011364-002	IC50_nm	10000
KYSE-270	RBN010061-002	IC50_nm	3449.28294989837
KYSE-270	RBN011364-002	IC50_nm	0.00867027745156489
KYSE-450	RBN010061-002	IC50_nm	10000
KYSE-450	RBN011364-002	IC50_nm	10000
IM-95	RBN010061-002	IC50_nm	6612.00531365028
IM-95	RBN011364-002	IC50_nm	3533.83195870825
LoVo	RBN010061-002	IC50_nm	5162.42270294957
